date,close,volume,open,high,low
9/22/2015,113.4,50278030,113.38,114.18,112.5201
9/21/2015,115.21,46594220,113.67,115.37,113.66
9/18/2015,113.45,73991000,112.21,114.3,111.87
9/17/2015,113.92,63712340,115.66,116.49,113.715
9/16/2015,116.41,37080720,116.25,116.54,115.44
9/15/2015,116.28,43218350,115.93,116.53,114.42
9/14/2015,115.31,58279570,116.58,116.89,114.86
9/11/2015,114.21,49793750,111.79,114.21,111.76
9/10/2015,112.57,62800770,110.27,113.2825,109.9
9/9/2015,110.15,84757780,113.76,114.02,109.77
9/8/2015,112.31,54507300,111.65,112.56,110.32
9/4/2015,109.27,49904460,108.97,110.45,108.51
9/3/2015,110.37,53142590,112.49,112.78,110.04
9/2/2015,112.34,61681250,110.23,112.34,109.131
9/1/2015,107.72,76562170,110.15,111.88,107.36
8/31/2015,112.76,56111590,112.03,114.53,112
8/28/2015,113.29,53075960,112.17,113.31,111.54
8/27/2015,112.92,83825220,112.23,113.24,110.02
8/26/2015,109.69,96531890,107.085,109.89,105.05
8/25/2015,103.74,102731700,111.11,111.11,103.5
8/24/2015,103.12,161882500,94.87,108.8,92
8/21/2015,105.76,127246600,110.43,111.9,105.645
8/20/2015,112.65,68176940,114.08,114.35,111.63
8/19/2015,115.01,48079330,116.1,116.52,114.68
8/18/2015,116.5,34525630,116.43,117.44,116.01
8/17/2015,117.16,40827260,116.04,117.65,115.5
8/14/2015,115.96,42876370,114.32,116.31,114.01
8/13/2015,115.15,48407640,116.04,116.4,114.54
8/12/2015,115.24,101593400,112.53,115.42,109.63
8/11/2015,113.49,96820670,117.81,118.18,113.33
8/10/2015,119.72,54851010,116.53,119.99,116.53
8/7/2015,115.52,38610120,114.58,116.25,114.5
8/6/2015,115.13,52828890,115.97,116.5,114.115
8/5/2015,115.4,99202400,112.95,117.44,112.1
8/4/2015,114.64,123601900,117.42,117.7,113.25
8/3/2015,118.44,69639900,121.5,122.57,117.52
7/31/2015,121.3,42832890,122.6,122.6425,120.91
7/30/2015,122.37,33400950,122.32,122.5699,121.71
7/29/2015,122.99,36912040,123.15,123.5,122.27
7/28/2015,123.38,33570380,123.38,123.91,122.55
7/27/2015,122.77,44371580,123.09,123.61,122.12
7/24/2015,124.5,42090320,125.32,125.74,123.9
7/23/2015,125.16,50832950,126.2,127.09,125.06
7/22/2015,125.22,115288400,121.99,125.5,121.99
7/21/2015,130.75,73006780,132.85,132.92,130.32
7/20/2015,132.07,55204920,130.97,132.97,130.7
7/17/2015,129.62,45970470,129.08,129.62,128.31
7/16/2015,128.51,35987630,127.74,128.57,127.35
7/15/2015,126.82,33559770,125.72,127.15,125.58
7/14/2015,125.61,31695870,126.04,126.37,125.04
7/13/2015,125.66,41365600,125.03,125.755,124.32
7/10/2015,123.28,61292800,121.94,123.85,121.21
7/9/2015,120.07,78291510,123.85,124.06,119.22
7/8/2015,122.57,60609830,124.48,124.64,122.54
7/7/2015,125.69,46737090,125.89,126.15,123.77
7/6/2015,126,27972950,124.94,126.23,124.85
7/2/2015,126.44,27171180,126.43,126.69,125.77
7/1/2015,126.6,30206890,126.9,126.94,125.99
6/30/2015,125.425,44326050,125.57,126.12,124.86
6/29/2015,124.53,49043410,125.46,126.47,124.48
6/26/2015,126.75,43986290,127.67,127.99,126.51
6/25/2015,127.5,31872390,128.86,129.2,127.5
6/24/2015,128.11,55077520,127.21,129.8,127.12
6/23/2015,127.03,30192140,127.48,127.61,126.8792
6/22/2015,127.61,33976180,127.49,128.06,127.08
